fold,val_auroc,val_auprc,val_prevalence
1,0.7836217786725832,0.7069625880859154,0.38030460476875305
2,0.7723917122053308,0.6857325316731846,0.37029165029525757
3,0.7856827011630956,0.7110754462551232,0.3837335705757141
4,0.7756793771387079,0.6904698983403047,0.3704400658607483
5,0.7786018938012227,0.6878478310024608,0.3685508966445923
