fold,epoch,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc,pos_weight
1,1,0.7378322905037095,0.7534666518067064,0.6573533453837033,0.7182676987360342,0.7750684138379917,0.6884127748085839,1.6790983007936122
1,2,0.6767494455789596,0.8020510174507409,0.7236407576602191,0.7093149880042323,0.7836217786725832,0.7069625880859154,1.6790983007936122
1,3,0.5909897633858519,0.8560202794214012,0.7959729494237434,0.7489405668876448,0.7690345536035339,0.6944765483650945,1.6790983007936122
2,1,0.733656238613765,0.7549679091294318,0.6603334897150146,0.7151116902625895,0.7723917122053308,0.6857325316731846,1.661463887542414
2,2,0.6723841963316127,0.8038760270127918,0.7267493570571826,0.7162053428943007,0.7762408450639674,0.6823247455628527,1.661463887542414
2,3,0.5844934254616583,0.8585660240469328,0.8003852441684882,0.734510345523979,0.7683105457110984,0.6836307631492549,1.661463887542414
3,1,0.7433235894023243,0.7496825832909858,0.6508896184472628,0.7085933478202217,0.7862830381798761,0.7094537406059378,1.6855447680690399
3,2,0.6813968409298131,0.7993123146736563,0.7203600407951257,0.7227970192578226,0.7856827011630956,0.7110754462551232,1.6855447680690399
3,3,0.594467174010209,0.85442438435547,0.793226824660896,0.7550005276256953,0.7710585404050851,0.6993543853005888,1.6855447680690399
4,1,0.7358375643471186,0.7529819693822184,0.657349137207295,0.7154607433215275,0.7701139967316288,0.6839231768712971,1.6616095307561392
4,2,0.6703706580238431,0.8053122500561617,0.7287460293385941,0.7176083396747062,0.7756793771387079,0.6904698983403047,1.6616095307561392
4,3,0.5815775640977471,0.8598840973171338,0.8036611601689538,0.7724183371250658,0.7688274922902508,0.683100101791523,1.6616095307561392
5,1,0.7376246722522725,0.7505842791413992,0.6558464522331735,0.7111538520408432,0.7770138386691833,0.6839383712638798,1.6582702387885848
5,2,0.676016507668753,0.8005265117603266,0.7235663090672171,0.7120514488230595,0.7786018938012227,0.6878478310024608,1.6582702387885848
5,3,0.5964221924413334,0.8513361556931158,0.7929372466110816,0.731994658023039,0.7759346928956865,0.6870485150727818,1.6582702387885848
