fold,epoch,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc,pos_weight
1,1,0.9511548680357886,0.7473913845317401,0.4725631710909758,0.9192244261960466,0.7859332381523628,0.5477730920708671,4.0825115353297745
1,2,0.7942725085274434,0.8386073840193609,0.634061795680346,0.9571283772338831,0.8018215891842878,0.5856946780894211,4.0825115353297745
1,3,0.6140249030475935,0.908992414224096,0.7651668054099654,1.1584621912621005,0.7807899316555574,0.5655499190489582,4.0825115353297745
2,1,0.9376907460667109,0.7529966591500716,0.48848387824295125,0.8742046397663813,0.7846497315095571,0.5136443384162498,3.952693249387898
2,2,0.7963764731389267,0.8349508151703694,0.6338073370394901,0.8569073925188357,0.7905426305186092,0.5445950597229695,3.952693249387898
2,3,0.6338124249777228,0.9010456807813545,0.7573147199490551,0.9499783739966926,0.7854452401421327,0.5342652818946622,3.952693249387898
3,1,0.951936812271349,0.7462333607044298,0.46856963428166265,0.9421510312034068,0.7767989505916385,0.5345177519087115,4.059930437884598
3,2,0.8021576596442663,0.8348033413006997,0.6247245383741512,0.919653443299638,0.7882874794195941,0.5676641058057533,4.059930437884598
3,3,0.6184134354246708,0.907540595903999,0.7634825717057101,1.0898556965709958,0.7743085445229192,0.548605204812247,4.059930437884598
4,1,0.9438209078968447,0.7507572746442988,0.4803749341030284,1.2053911837413585,0.7184493764922258,0.42391049449239804,4.047534743737275
4,2,0.7959518493139599,0.8368566987476125,0.6350674468789292,0.9069995763160386,0.7940159866969863,0.5692894435324526,4.047534743737275
4,3,0.6203008258366993,0.9065711547935354,0.7635527805456159,1.0039850427514392,0.77043241055422,0.5499596360610677,4.047534743737275
5,1,0.9462807533073218,0.7469238435629462,0.47365795323041715,0.9032805504871183,0.7735885173465756,0.5258745607766971,3.958788090456649
5,2,0.794986742432756,0.8366799606115417,0.628841179770149,0.8653448237771368,0.7909209651576478,0.5544599958613678,3.958788090456649
5,3,0.6192689616872457,0.9060368922665122,0.7597547333748812,1.3835963465639838,0.76139460183517,0.504399653765149,3.958788090456649
