mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.845669174194336,0.15684121372725093,0.018186569213867188,0.001155404506961031,0.9,0.5,800,2,3,0.2,1.0,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.2), 'clf__colsample_bytree': np.float64(1.0)}",0.3454162877876702,0.3540555214719538,0.3500911225248363,0.3525674042869266,0.3658304326350546,0.3535921537412883,0.00678442768477556,12,0.6456953213920423,0.6482892986871307,0.6552513885380198,0.6475664084163875,0.6478454674132703,0.6489295768893701,0.003282352478365595
0.8323062896728516,0.009437982720887656,0.018219423294067384,0.0020847022771235454,0.6,2.0,1000,10,2,0.1,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(2), 'clf__learning_rate': np.float64(0.1), 'clf__colsample_bytree': np.float64(0.6)}",0.313912860883345,0.3173661566954785,0.3152787435343025,0.32386961484159166,0.33653720914404583,0.32139291701975276,0.008307018381703146,19,0.40158843081998213,0.3977355370245135,0.40110610004781777,0.403917570552101,0.3967861901937373,0.40022676572763033,0.00261889982161905
0.9829433917999267,0.03391845740059619,0.0203397274017334,0.002741547878486119,0.6,5.0,1000,1,3,0.01,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.6)}",0.30953259754798274,0.30556971120334,0.30481697379128603,0.3122239422339721,0.3289947475249211,0.3122275944603004,0.008805057089558416,24,0.3425180227340814,0.3431132010921804,0.34428605450206184,0.3418067368287043,0.3389842512414697,0.3421416532796996,0.001775689859224421
0.48427910804748536,0.013006304914017545,0.013701057434082032,0.0017017356431741518,1.0,1.0,200,1,6,0.01,1.0,"{'clf__subsample': np.float64(1.0), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(200), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(6), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(1.0)}",0.3220036890585042,0.3139462890424667,0.3155953300930372,0.3138271441840215,0.3396949019621651,0.32101347086803894,0.009807354377324894,20,0.40000083434850153,0.39427580588503763,0.39554772019824147,0.39399540530012556,0.39781727693483016,0.3963274085333473,0.0022789906309323266
2.2110455989837647,0.04053883801483231,0.03674955368041992,0.003917288127729349,1.0,10.0,1200,2,7,0.1,1.0,"{'clf__subsample': np.float64(1.0), 'clf__reg_lambda': np.float64(10.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.1), 'clf__colsample_bytree': np.float64(1.0)}",0.44811317230471986,0.46929003501743793,0.46003974813424997,0.46250378519796936,0.46837898859478044,0.4616651458498316,0.0076186066951858585,2,0.9408532149976547,0.9424686576042982,0.9433084745839537,0.9420877298884853,0.9424778113726616,0.9422391776894108,0.0007996038937052054
2.1142343044281007,0.04800536086228827,0.02904987335205078,0.0020074110119637128,0.9,2.0,800,1,8,0.02,1.0,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(1.0)}",0.4298383821218725,0.4519971083116286,0.4415736087795428,0.44414829151971613,0.4610252730263464,0.4457165327518212,0.010445496878414293,3,0.8595159433406324,0.8678838313566913,0.8700536975992228,0.8601969947629086,0.8677734990961541,0.8650847932311219,0.004351009704541127
1.0324298858642578,0.06459249118796549,0.02346773147583008,0.00024660496543112246,0.6,5.0,1000,5,3,0.01,0.9,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.9)}",0.31065335169359054,0.3055611651298436,0.3071670890476915,0.31174875026817883,0.3304043473077794,0.3131069406894168,0.008936281354376832,23,0.34382386377125074,0.3434058032574091,0.34597696077418816,0.3434269262706314,0.3393456047589006,0.343195831766476,0.002147130339000318
3.098064088821411,0.034355528679054385,0.04051427841186524,0.002083316547752762,0.7,2.0,1200,1,8,0.01,0.8,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.8)}",0.4233742244802378,0.43961981085978885,0.4270366712601827,0.4295984365587451,0.4493393299441348,0.43379369462061784,0.009459739118491118,5,0.8198407953402456,0.8279597367968538,0.8275187585252506,0.8201832367223221,0.8290256726985098,0.8249056400166364,0.004027016494945515
0.9872015953063965,0.07475731420912757,0.020926523208618163,0.0029070478360314943,0.6,10.0,1000,5,3,0.02,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(10.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(0.6)}",0.3170769767749374,0.3141482322333784,0.31380280895167156,0.32126934827490305,0.3386152816365639,0.32098252957429085,0.009214179955785764,21,0.3690910520158067,0.370703636527258,0.3736233891178519,0.3698330079278241,0.36658535452672847,0.36996728802309387,0.0022861574395901217
1.1440186500549316,0.01254470644410808,0.026802730560302735,0.000384804200933941,0.7,0.5,1000,2,4,0.02,0.9,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(4), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(0.9)}",0.33483338717096345,0.3364164123297754,0.3357724178098765,0.34173730800319624,0.36152245953586426,0.3420563969699352,0.010024959859976413,14,0.4704419553832302,0.4667790665729825,0.47688214507415805,0.46865189614329694,0.46807101048847877,0.4701652147324292,0.0035590887184435514
