mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4205923557281494,0.03760343273559429,0.012586736679077148,0.004667079263066777,0.9,0.5,800,2,3,0.2,1.0,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.2), 'clf__colsample_bytree': np.float64(1.0)}",0.5540881863259435,0.5613613968633258,0.566497413822905,0.5699561747997521,0.5530652315798555,0.5609936806783563,0.006652800191706795,24,0.8679658329872573,0.8687198849467492,0.8710614502422471,0.8692525678288989,0.8686939581874933,0.8691387388385291,0.0010448686737747131
0.4364884853363037,0.006440547383751819,0.010252046585083007,0.0013167014233970015,0.6,2.0,1000,10,2,0.1,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(2), 'clf__learning_rate': np.float64(0.1), 'clf__colsample_bytree': np.float64(0.6)}",0.5594780183490085,0.5748836596596845,0.570076618885656,0.5898679102442506,0.5569330555215288,0.5702478525320256,0.011829960617668667,17,0.6991125468867536,0.6995852622061993,0.6962097620385251,0.6922542336595845,0.6970576832662128,0.696843897611455,0.002614371694987746
0.5432177543640136,0.006723384678928057,0.012367486953735352,0.001788885329723713,0.6,5.0,1000,1,3,0.01,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.6)}",0.5677723980443283,0.5901642378354861,0.5754110716469504,0.603927792979801,0.5665580511675669,0.5807667103348265,0.014312024911957169,3,0.6491347543763932,0.6437932421820451,0.6456553476376748,0.6427420801432014,0.6474867680377258,0.6457624384754082,0.0023391277827331594
0.2879612922668457,0.002164929795637361,0.05454320907592773,0.09288725565472947,1.0,1.0,200,1,6,0.01,1.0,"{'clf__subsample': np.float64(1.0), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(200), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(6), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(1.0)}",0.5702079584680873,0.5920505210587514,0.5680053392387574,0.5920715476043239,0.5630259545110745,0.5770722641761988,0.01245755448297247,10,0.718157122663579,0.7210168682873259,0.7202957713578705,0.7202773443232591,0.7232113390880821,0.7205916891440233,0.0016221490118674454
1.3865265846252441,0.007323860958171762,0.019087791442871094,0.0013516347813310654,1.0,10.0,1200,2,7,0.1,1.0,"{'clf__subsample': np.float64(1.0), 'clf__reg_lambda': np.float64(10.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.1), 'clf__colsample_bytree': np.float64(1.0)}",0.5524463842178928,0.563373723879699,0.5570033179451633,0.5696392995854475,0.5579330824361992,0.5600791616128804,0.005908910888593875,25,0.9840965839473729,0.9841191358412604,0.9842595751711886,0.9852723126887174,0.9837231031840752,0.9842941421665229,0.0005203372811873523
1.4386267185211181,0.028719156021544984,0.01672334671020508,0.001579088899208373,0.9,2.0,800,1,8,0.02,1.0,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(1.0)}",0.575806322218175,0.583074572065007,0.5750181882681171,0.5924856985850302,0.5765267071662351,0.580582297660513,0.006604838443001222,5,0.9613771836010145,0.9625534455086462,0.9617539209390327,0.963170535578775,0.9607041701018396,0.9619118511458616,0.000867782768421596
0.5446403980255127,0.009826269041113164,0.011606121063232422,0.0013648395171677323,0.6,5.0,1000,5,3,0.01,0.9,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.9)}",0.568392321310105,0.5902698426014543,0.5752297341309311,0.6041536295947102,0.5658394122884051,0.5807769879851212,0.014448977980322434,2,0.649281473153464,0.6463159026178555,0.6468067670415495,0.6433158066508169,0.6487609283389403,0.6468961755605251,0.0021133243779577243
2.044155311584473,0.02236393345555076,0.021107816696166994,0.0013336415232182816,0.7,2.0,1200,1,8,0.01,0.8,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.01), 'clf__colsample_bytree': np.float64(0.8)}",0.5764536971013596,0.5904449138332607,0.5808211775010882,0.5943180048235421,0.5776364550832487,0.5839348496684998,0.007148751203580224,1,0.9501138574836377,0.9509025425241023,0.9504010874634119,0.9506001393064888,0.9489892699753577,0.9502013793505997,0.00065839074163691
0.5176513671875,0.005345919282966232,0.010884761810302734,4.053480468505341e-05,0.6,10.0,1000,5,3,0.02,0.6,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(10.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(3), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(0.6)}",0.5710924768068896,0.5856287659518624,0.5760417492962191,0.6020203472082677,0.5681816596440302,0.5805929997814537,0.012243409169416934,4,0.677121684023932,0.6755679291172753,0.674003725643156,0.6708020424704025,0.6747781728121898,0.6744547108133911,0.002097713155326785
0.6439568519592285,0.010115962303347657,0.012255716323852538,0.00013146681500662526,0.7,0.5,1000,2,4,0.02,0.9,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(4), 'clf__learning_rate': np.float64(0.02), 'clf__colsample_bytree': np.float64(0.9)}",0.567448987333234,0.5822819950668234,0.5797300559596192,0.5934765361764666,0.5672833809728252,0.5780441911017936,0.009869263141670364,7,0.7719391759458458,0.7703436348320362,0.7722026765353653,0.7690124175569504,0.771098646610449,0.7709193102961293,0.0011564565292140026
