mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__gamma,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.65458459854126,0.29328513879223006,0.07223906517028808,0.002241397059072441,0.8,0.5,2000,2,7,0.01,0.5,0.6,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(2000), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.01), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.6)}",0.37126664276132015,0.380323789170312,0.39427273370712757,0.38811648233216156,0.4029051784333273,0.38737696528084975,0.010940874702658195,28,0.6321873916003209,0.6345094223839023,0.6309296736973723,0.6377812511640985,0.6336738694871049,0.6338163216665598,0.002332702158741045
3.6487439632415772,0.9827138184984787,0.055172395706176755,0.0038289875568231217,0.7,2.0,1200,5,8,0.01,1.0,0.6,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.01), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.6)}",0.35430267834048085,0.35595760641291624,0.3699556813343059,0.36992235205636376,0.3818092915219512,0.3663895219332036,0.01017727198399059,51,0.5468174943311045,0.5498059529397952,0.5455764496429276,0.5497332718160772,0.5458837029473177,0.5475633743354444,0.0018473286962447726
3.7373769760131834,0.16101826683904155,0.08408393859863281,0.03643292014202113,0.7,0.5,1800,10,7,0.03,0.5,0.6,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(1800), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.03), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.6)}",0.3645362995877087,0.3765536793921766,0.38735087250750333,0.3842623000946628,0.40010146994565043,0.38256092430554034,0.01178544112346998,36,0.6593368981577549,0.6608767054569412,0.6575587061787291,0.6593499570244579,0.6607093680987879,0.6595663269833342,0.0011961295561856336
2.0276397705078124,0.1473928661177983,0.03958444595336914,0.004360860769042071,0.8,1.0,1000,2,6,0.02,2.0,0.8,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(6), 'clf__learning_rate': np.float64(0.02), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.8)}",0.3534664139295156,0.36318709770997515,0.3757884791670435,0.373170140787242,0.3829022249880183,0.36970287131635887,0.010289386492983974,48,0.560106376590008,0.5643828471919783,0.5639387472667932,0.5624672001325041,0.5580483318169643,0.5617887005996496,0.0023930412254439997
4.17682147026062,0.3830882018585625,0.06297988891601562,0.0021304501215608433,0.8,0.0,2200,10,10,0.05,1.0,0.7,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(2200), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.7)}",0.38920596523996953,0.39256768672650677,0.4054221834414684,0.4023855944726511,0.41077350448189315,0.40007098687249776,0.008035979148778374,19,0.7555661938219822,0.758564729780183,0.755060877822258,0.7551289303366978,0.7539140267353035,0.7556469516992849,0.001557870881449138
3.433212661743164,0.08637763007553528,0.05946531295776367,0.00171978856660323,0.9,0.0,1400,10,10,0.07,0.0,0.6,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.6)}",0.39365873987817207,0.3984262063069527,0.4163154173239525,0.40640188359367646,0.4172987656024455,0.40642020254103983,0.009412944816062113,16,0.7888472841167675,0.7941362181033484,0.7907698413639792,0.790724626522944,0.7904409107289807,0.7909837761672038,0.001726853668641829
3.416788625717163,0.5492429331028111,0.055094671249389646,0.0033350469703334463,0.8,2.0,1200,10,10,0.03,0.0,0.6,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.03), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.6)}",0.3765894162947273,0.38641999846149494,0.4022406612387191,0.3969533361331707,0.4074039803723539,0.3939214785000932,0.011107217490817186,22,0.6885261638962822,0.6931510001229596,0.6890605093321283,0.6898480709095628,0.6895438286524073,0.6900259145826679,0.0016255124896132301
2.6180557727813722,0.10009937815356819,0.04446310997009277,0.00011971950065696957,0.7,2.0,1400,10,6,0.05,0.0,0.7,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(6), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.7)}",0.3580738216768543,0.37692292052451026,0.384011647206273,0.3850443450917166,0.39207694403267684,0.3792259357064062,0.01161568890926502,39,0.6552126291795691,0.6546316288534216,0.6529762360545672,0.6537380637439708,0.6521857338196997,0.6537488583302457,0.001092000809098096
2.883987808227539,0.08171027047147976,0.050105953216552736,0.00376242248192306,0.6,1.0,1400,5,7,0.02,1.0,0.5,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.02), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.5)}",0.36096512609765496,0.3692823235830055,0.3831174697078931,0.38558555718878823,0.39501592694218596,0.37879328070390555,0.01213514963551471,41,0.6120024892644483,0.6146026775079477,0.6084430189880811,0.6118386393517343,0.6112332677714962,0.6116240185767415,0.0019663751291055386
4.604296398162842,0.7184551383583908,0.05892930030822754,0.000498508097444252,0.7,1.0,1800,5,8,0.05,0.5,0.6,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(1800), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.6)}",0.4014348154507718,0.4052510620833816,0.4181838129279449,0.41476720977532117,0.4166709662075596,0.4112615732889958,0.006665730794213229,9,0.7897845995528162,0.794220263990744,0.7909712354776596,0.7913434244852218,0.7902411882627088,0.7913121423538301,0.0015527200133488375
1.4299561023712157,0.021012175935774126,0.031971073150634764,0.0001172634193312668,0.7,0.0,800,5,5,0.07,2.0,0.9,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(5), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.9)}",0.3527275413080421,0.3670681011117749,0.37670152015944103,0.3732042411300409,0.3897958596041108,0.371899452662682,0.01213217086427507,45,0.6109736247742734,0.6086797194603122,0.6067387104805887,0.6063680189154205,0.6108516525700104,0.608722345240121,0.001953544752777434
