stat,train_logloss,auroc,auprc,prevalence,model,task
mean,0.16467845098071004,0.722325535668976,0.47920846221574676,0.20664215697540742,xgb_pneumothorax_tuned,pneumothorax
std,0.0016453545449911116,0.005791666555153105,0.0052611544342984875,5.998914108462499e-05,xgb_pneumothorax_tuned,pneumothorax
