fold,n_train,n_test,prevalence,train_logloss,auroc,auprc,model,task
1,31989,7998,0.20667666916729183,0.16685011974038177,0.7275548385651229,0.4711286478789893,xgb_pneumothorax_tuned,pneumothorax
2,31989,7998,0.20667666916729183,0.16276361610006237,0.719711849935428,0.4846492332466726,xgb_pneumothorax_tuned,pneumothorax
3,31990,7997,0.20657746654995623,0.16356236995903708,0.7144872991068447,0.47978364915504335,xgb_pneumothorax_tuned,pneumothorax
4,31990,7997,0.20657746654995623,0.16446338903955618,0.7214069151321225,0.47765456333279943,xgb_pneumothorax_tuned,pneumothorax
5,31990,7997,0.20670251344254095,0.16575276006451278,0.7284667756053612,0.48282621746522936,xgb_pneumothorax_tuned,pneumothorax
