stat,train_logloss,auroc,auprc,prevalence,model,task
mean,0.5935526094098127,0.6249994542701965,0.5789548904158964,0.4587442386550783,xgb_pneumonia,pneumonia
std,0.0020461620070019483,0.011944900716194182,0.011877872727407075,0.00012396938222676037,xgb_pneumonia,pneumonia
mean,0.6713340538338527,0.6091384058410487,0.5543216910442437,0.4587442386550783,logreg_pneumonia,pneumonia
std,0.0011880822725482826,0.006044481885223852,0.007098659881074156,0.00012396938222676037,logreg_pneumonia,pneumonia
mean,0.4441689559950813,0.6666505785317378,0.34091871297204823,0.20664215697540742,xgb_pneumothorax,pneumothorax
std,0.0013444054068881134,0.008201787543942594,0.010416111220326419,5.998914108462499e-05,xgb_pneumothorax,pneumothorax
mean,0.49557665073286683,0.6179322811442137,0.28547157776583604,0.20664215697540742,logreg_pneumothorax,pneumothorax
std,0.0006930685232183868,0.007029163265693469,0.006078992968212201,5.998914108462499e-05,logreg_pneumothorax,pneumothorax
