max_depth,learning_rate,test_auprc,delta_vs_base
9,0.005,0.5722822455487213,0.005747663863863717
8,0.005,0.572101741775473,0.0055671600906154195
7,0.005,0.5714008346391926,0.00486625295433496
9,0.01,0.5689740639707006,0.0024394822858430087
8,0.01,0.5665345816848576,0.0
7,0.01,0.5663541388076255,-0.00018044287723206764
8,0.02,0.5644430186744889,-0.0020915630103687244
9,0.02,0.5617468551793531,-0.004787726505504519
7,0.02,0.5613350164488171,-0.005199565236040482
