k,silhouette,ari_sample,nmi_sample,min_cluster,max_cluster,sample_size
2,0.14816385507583618,-0.005683945394692345,0.006997976459662023,24383,45197,5000
3,0.12477309256792068,0.01499232935783689,0.01079079328294794,13955,31777,5000
4,0.07041559368371964,0.012896217413099403,0.010993964832603223,10695,23396,5000
5,0.07771505415439606,0.004498030110348331,0.011969552416531758,7660,21671,5000
6,0.05515049397945404,0.009835404383267436,0.013601527194160605,6199,16673,5000
7,0.05299670994281769,0.008938051028192298,0.0131358855581117,5979,16322,5000
8,0.04932780563831329,0.008748319095020642,0.012402740605991966,3812,15101,5000
9,0.050078071653842926,0.010630777675551295,0.015333739079686921,3438,14110,5000
10,0.04965641349554062,0.009647664520807201,0.01520568458214586,3366,14028,5000
