fold,epoch,train_loss,train_auroc,train_auprc,val_loss,val_auroc,val_auprc,pos_weight
1,1,0.7942231471499634,0.6936719161458327,0.5804079543294646,0.75433183025718,0.7435093362693441,0.6395804297550148,1.6790983007936122
1,2,0.7196225161420364,0.768865424562273,0.6777883591331471,0.7407448529121916,0.7556709755927405,0.6611568068013768,1.6790983007936122
1,3,0.6528126823004367,0.8176038183176686,0.7455665884656822,0.7501877181173587,0.7546212854101564,0.6599618739160984,1.6790983007936122
2,1,0.7953818842447882,0.687468697404158,0.5724994522208486,0.7486171340306413,0.7394171877021297,0.6356055541683974,1.661463887542414
2,2,0.7190309695345029,0.7670909818656084,0.6742158830869456,0.7386305074825955,0.7513677375228143,0.6523331596736958,1.661463887542414
2,3,0.650332002221954,0.8174572955631985,0.7437453908319567,0.7498646477494232,0.7511249255505974,0.6575785642264081,1.661463887542414
3,1,0.7959996327083366,0.6927641620084339,0.573814136625303,0.750391784084818,0.750892280663187,0.6569219559634869,1.6855447680690399
3,2,0.7278804229726646,0.7627002316189253,0.663532366988046,0.7312477578586118,0.7648757257856391,0.6767418377447704,1.6855447680690399
3,3,0.6680445655192485,0.8077112669501725,0.7249942279037582,0.7434165481039309,0.7632068133643701,0.6789112880130374,1.6855447680690399
4,1,0.7934292747555542,0.6913947090220853,0.5737655891050288,0.7503279742299993,0.7366573222377282,0.6300192143421697,1.6616095307561392
4,2,0.7202543577789668,0.7657804842072191,0.6732350666298355,0.7352090394766122,0.7524600504210092,0.6559329055666387,1.6616095307561392
4,3,0.6542079536948278,0.8148175816565593,0.7421643878036495,0.7491749160608668,0.7528047775869564,0.6588292388498712,1.6616095307561392
5,1,0.798525204922257,0.6839292757841015,0.5671733290535143,0.7455557733849875,0.74014541741292,0.6342324340151971,1.6582702387885848
5,2,0.7256715610854341,0.7610705406019109,0.6655756177416525,0.7256455335247872,0.7603482874512828,0.6583005607591486,1.6582702387885848
5,3,0.6637063474091524,0.808556213810139,0.7293281491438395,0.7293404518420443,0.7627737210587994,0.6646740572038904,1.6582702387885848
